INFO 2024-08-31 12:51:35,975 autoreload Watching for file changes with StatReloader
INFO 2024-08-31 12:53:36,706 autoreload Watching for file changes with StatReloader
INFO 2024-08-31 12:54:31,890 autoreload D:\PycharmProjects\FlowerDeliveryAdvanced\FlowerDelivery\website\telebot\telegram_bot.py changed, reloading.
INFO 2024-08-31 12:54:32,435 autoreload Watching for file changes with StatReloader
INFO 2024-08-31 12:55:21,218 autoreload D:\PycharmProjects\FlowerDeliveryAdvanced\FlowerDelivery\website\telebot\telegram_bot.py changed, reloading.
INFO 2024-08-31 12:55:21,775 autoreload Watching for file changes with StatReloader
INFO 2024-08-31 12:56:04,091 basehttp "GET /website/ HTTP/1.1" 200 3037
INFO 2024-08-31 12:56:04,148 basehttp "GET /static/website/css/styles.css HTTP/1.1" 304 0
INFO 2024-08-31 12:56:04,245 basehttp "GET /static/website/fon_home_.jpg HTTP/1.1" 304 0
INFO 2024-08-31 15:08:15,820 basehttp "GET /website/ HTTP/1.1" 200 3388
INFO 2024-08-31 15:08:15,902 basehttp "GET /static/website/favicon.ico HTTP/1.1" 304 0
INFO 2024-08-31 15:08:47,371 basehttp "GET /website/ HTTP/1.1" 200 3371
INFO 2024-08-31 15:08:49,105 basehttp "GET /website/ HTTP/1.1" 200 3371
INFO 2024-08-31 15:08:49,233 basehttp "GET /static/website/css/styles.css HTTP/1.1" 200 6250
INFO 2024-08-31 15:08:50,567 basehttp "GET /static/website/fon_home_.jpg HTTP/1.1" 200 52091
INFO 2024-08-31 15:08:50,599 basehttp "GET /static/website/favicon.ico HTTP/1.1" 200 41662
WARNING 2024-08-31 15:14:33,654 log Not Found: /flowers
WARNING 2024-08-31 15:14:33,654 basehttp "GET /flowers HTTP/1.1" 404 2498
WARNING 2024-08-31 15:14:33,745 log Not Found: /favicon.ico
WARNING 2024-08-31 15:14:33,745 basehttp "GET /favicon.ico HTTP/1.1" 404 2510
INFO 2024-08-31 15:14:46,661 basehttp "GET /website/ HTTP/1.1" 200 3383
INFO 2024-08-31 15:14:46,681 basehttp "GET /static/website/css/styles.css HTTP/1.1" 304 0
INFO 2024-08-31 15:15:40,082 basehttp "GET /website/showcase/ HTTP/1.1" 200 16327
